Pavarde        Vardas         Galutinis(vid./med.)     
-----------------------------------------------------------------------------------------------------------------
Vardas781      Pavarde781     5                        
Vardas611      Pavarde611     5                        
Vardas560      Pavarde560     5                        
Vardas264      Pavarde264     5                        
Vardas716      Pavarde716     5                        
Vardas869      Pavarde869     5                        
Vardas741      Pavarde741     5                        
Vardas457      Pavarde457     5                        
Vardas400      Pavarde400     5                        
Vardas14       Pavarde14      5                        
Vardas545      Pavarde545     5                        
Vardas187      Pavarde187     5                        
Vardas952      Pavarde952     4.9                      
Vardas370      Pavarde370     4.9                      
Vardas684      Pavarde684     4.9                      
Vardas591      Pavarde591     4.9                      
Vardas101      Pavarde101     4.9                      
Vardas338      Pavarde338     4.9                      
Vardas447      Pavarde447     4.9                      
Vardas223      Pavarde223     4.9                      
Vardas470      Pavarde470     4.9                      
Vardas551      Pavarde551     4.9                      
Vardas813      Pavarde813     4.9                      
Vardas726      Pavarde726     4.9                      
Vardas196      Pavarde196     4.9                      
Vardas660      Pavarde660     4.9                      
Vardas494      Pavarde494     4.9                      
Vardas995      Pavarde995     4.9                      
Vardas593      Pavarde593     4.9                      
Vardas429      Pavarde429     4.8                      
Vardas156      Pavarde156     4.8                      
Vardas627      Pavarde627     4.8                      
Vardas845      Pavarde845     4.8                      
Vardas446      Pavarde446     4.8                      
Vardas742      Pavarde742     4.8                      
Vardas256      Pavarde256     4.8                      
Vardas720      Pavarde720     4.8                      
Vardas692      Pavarde692     4.8                      
Vardas728      Pavarde728     4.8                      
Vardas662      Pavarde662     4.8                      
Vardas812      Pavarde812     4.8                      
Vardas62       Pavarde62      4.8                      
Vardas737      Pavarde737     4.8                      
Vardas904      Pavarde904     4.8                      
Vardas16       Pavarde16      4.8                      
Vardas833      Pavarde833     4.8                      
Vardas428      Pavarde428     4.8                      
Vardas282      Pavarde282     4.7                      
Vardas453      Pavarde453     4.7                      
Vardas348      Pavarde348     4.7                      
Vardas486      Pavarde486     4.7                      
Vardas656      Pavarde656     4.7                      
Vardas326      Pavarde326     4.6                      
Vardas640      Pavarde640     4.6                      
Vardas394      Pavarde394     4.6                      
Vardas939      Pavarde939     4.6                      
Vardas749      Pavarde749     4.6                      
Vardas36       Pavarde36      4.6                      
Vardas586      Pavarde586     4.6                      
Vardas452      Pavarde452     4.6                      
Vardas701      Pavarde701     4.6                      
Vardas245      Pavarde245     4.6                      
Vardas305      Pavarde305     4.6                      
Vardas675      Pavarde675     4.6                      
Vardas271      Pavarde271     4.6                      
Vardas386      Pavarde386     4.6                      
Vardas1        Pavarde1       4.6                      
Vardas819      Pavarde819     4.6                      
Vardas822      Pavarde822     4.6                      
Vardas327      Pavarde327     4.6                      
Vardas274      Pavarde274     4.6                      
Vardas538      Pavarde538     4.6                      
Vardas210      Pavarde210     4.6                      
Vardas623      Pavarde623     4.6                      
Vardas487      Pavarde487     4.6                      
Vardas598      Pavarde598     4.5                      
