Pavarde        Vardas         Galutinis(vid./med.)     
-----------------------------------------------------------------------------------------------------------------
Vardas160      Pavarde160     9.4                      
Vardas315      Pavarde315     9.1                      
Vardas796      Pavarde796     9.1                      
Vardas843      Pavarde843     9                        
Vardas983      Pavarde983     8.9                      
Vardas499      Pavarde499     8.9                      
Vardas269      Pavarde269     8.9                      
Vardas700      Pavarde700     8.9                      
Vardas3        Pavarde3       8.8                      
Vardas437      Pavarde437     8.8                      
Vardas644      Pavarde644     8.8                      
Vardas426      Pavarde426     8.7                      
Vardas40       Pavarde40      8.7                      
Vardas648      Pavarde648     8.6                      
Vardas883      Pavarde883     8.6                      
Vardas975      Pavarde975     8.6                      
Vardas65       Pavarde65      8.6                      
Vardas260      Pavarde260     8.6                      
Vardas387      Pavarde387     8.6                      
Vardas190      Pavarde190     8.6                      
Vardas141      Pavarde141     8.5                      
Vardas897      Pavarde897     8.5                      
Vardas629      Pavarde629     8.5                      
Vardas899      Pavarde899     8.5                      
Vardas352      Pavarde352     8.5                      
Vardas384      Pavarde384     8.5                      
Vardas5        Pavarde5       8.5                      
Vardas543      Pavarde543     8.4                      
Vardas557      Pavarde557     8.4                      
Vardas463      Pavarde463     8.4                      
Vardas908      Pavarde908     8.4                      
Vardas536      Pavarde536     8.4                      
Vardas773      Pavarde773     8.4                      
Vardas125      Pavarde125     8.3                      
Vardas421      Pavarde421     8.3                      
Vardas577      Pavarde577     8.3                      
Vardas580      Pavarde580     8.3                      
Vardas638      Pavarde638     8.3                      
Vardas408      Pavarde408     8.3                      
Vardas767      Pavarde767     8.3                      
Vardas756      Pavarde756     8.2                      
Vardas554      Pavarde554     8.2                      
Vardas669      Pavarde669     8.2                      
Vardas167      Pavarde167     8.2                      
Vardas165      Pavarde165     8.2                      
Vardas802      Pavarde802     8.2                      
Vardas511      Pavarde511     8.2                      
Vardas659      Pavarde659     8.2                      
Vardas20       Pavarde20      8.2                      
Vardas533      Pavarde533     8.2                      
Vardas331      Pavarde331     8.2                      
Vardas512      Pavarde512     8.2                      
Vardas871      Pavarde871     8.2                      
Vardas872      Pavarde872     8.2                      
Vardas135      Pavarde135     8.2                      
Vardas369      Pavarde369     8.2                      
Vardas61       Pavarde61      8.2                      
Vardas248      Pavarde248     8.1                      
Vardas736      Pavarde736     8.1                      
Vardas914      Pavarde914     8.1                      
Vardas204      Pavarde204     8.1                      
Vardas945      Pavarde945     8.1                      
Vardas694      Pavarde694     8.1                      
Vardas153      Pavarde153     8.1                      
Vardas583      Pavarde583     8.1                      
Vardas951      Pavarde951     8.1                      
Vardas862      Pavarde862     8.1                      
Vardas503      Pavarde503     8                        
Vardas496      Pavarde496     8                        
Vardas745      Pavarde745     8                        
Vardas350      Pavarde350     8                        
Vardas931      Pavarde931     8                        
Vardas582      Pavarde582     8                        
Vardas702      Pavarde702     8                        
Vardas318      Pavarde318     8                        
Vardas249      Pavarde249     8                        
Vardas783      Pavarde783     8                        
Vardas911      Pavarde911     8                        
Vardas8        Pavarde8       8                        
Vardas639      Pavarde639     8                        
Vardas588      Pavarde588     8                        
Vardas815      Pavarde815     8                        
Vardas250      Pavarde250     7.9                      
Vardas192      Pavarde192     7.9                      
Vardas154      Pavarde154     7.9                      
Vardas52       Pavarde52      7.9                      
Vardas480      Pavarde480     7.9                      
Vardas663      Pavarde663     7.9                      
Vardas760      Pavarde760     7.9                      
Vardas109      Pavarde109     7.9                      
Vardas292      Pavarde292     7.9                      
Vardas527      Pavarde527     7.9                      
Vardas188      Pavarde188     7.9                      
Vardas295      Pavarde295     7.9                      
Vardas439      Pavarde439     7.9                      
Vardas964      Pavarde964     7.9                      
Vardas790      Pavarde790     7.9                      
Vardas608      Pavarde608     7.9                      
Vardas766      Pavarde766     7.9                      
Vardas890      Pavarde890     7.8                      
Vardas193      Pavarde193     7.8                      
Vardas407      Pavarde407     7.8                      
Vardas344      Pavarde344     7.8                      
Vardas126      Pavarde126     7.8                      
Vardas15       Pavarde15      7.8                      
Vardas547      Pavarde547     7.8                      
Vardas333      Pavarde333     7.8                      
Vardas335      Pavarde335     7.8                      
Vardas225      Pavarde225     7.8                      
Vardas285      Pavarde285     7.8                      
Vardas842      Pavarde842     7.8                      
Vardas134      Pavarde134     7.8                      
Vardas955      Pavarde955     7.8                      
Vardas397      Pavarde397     7.8                      
Vardas222      Pavarde222     7.8                      
Vardas948      Pavarde948     7.7                      
Vardas220      Pavarde220     7.7                      
Vardas99       Pavarde99      7.7                      
Vardas886      Pavarde886     7.7                      
Vardas836      Pavarde836     7.7                      
Vardas30       Pavarde30      7.7                      
Vardas966      Pavarde966     7.7                      
Vardas85       Pavarde85      7.7                      
Vardas946      Pavarde946     7.7                      
Vardas459      Pavarde459     7.7                      
Vardas857      Pavarde857     7.7                      
Vardas28       Pavarde28      7.7                      
Vardas377      Pavarde377     7.6                      
Vardas913      Pavarde913     7.6                      
Vardas885      Pavarde885     7.6                      
Vardas575      Pavarde575     7.6                      
Vardas1000     Pavarde1000    7.6                      
Vardas150      Pavarde150     7.6                      
Vardas298      Pavarde298     7.6                      
Vardas482      Pavarde482     7.6                      
Vardas364      Pavarde364     7.6                      
Vardas136      Pavarde136     7.6                      
Vardas25       Pavarde25      7.6                      
Vardas185      Pavarde185     7.6                      
Vardas489      Pavarde489     7.6                      
Vardas777      Pavarde777     7.6                      
Vardas317      Pavarde317     7.6                      
Vardas521      Pavarde521     7.6                      
Vardas649      Pavarde649     7.6                      
Vardas72       Pavarde72      7.6                      
Vardas234      Pavarde234     7.6                      
Vardas927      Pavarde927     7.6                      
Vardas131      Pavarde131     7.5                      
Vardas695      Pavarde695     7.5                      
Vardas24       Pavarde24      7.5                      
Vardas460      Pavarde460     7.5                      
