Pavarde        Vardas         Galutinis(vid./med.)     
-----------------------------------------------------------------------------------------------------------------
Vardas9413     Pavarde9413    5                        
Vardas1018     Pavarde1018    5                        
Vardas4533     Pavarde4533    5                        
Vardas3513     Pavarde3513    5                        
Vardas9211     Pavarde9211    5                        
Vardas722      Pavarde722     5                        
Vardas5661     Pavarde5661    5                        
Vardas5730     Pavarde5730    5                        
Vardas4344     Pavarde4344    5                        
Vardas5607     Pavarde5607    5                        
Vardas9422     Pavarde9422    5                        
Vardas5924     Pavarde5924    5                        
Vardas5945     Pavarde5945    5                        
Vardas7710     Pavarde7710    5                        
Vardas7703     Pavarde7703    5                        
Vardas7608     Pavarde7608    5                        
Vardas7561     Pavarde7561    5                        
Vardas7466     Pavarde7466    5                        
Vardas8365     Pavarde8365    5                        
Vardas5101     Pavarde5101    5                        
Vardas5127     Pavarde5127    5                        
Vardas8902     Pavarde8902    5                        
Vardas8718     Pavarde8718    5                        
Vardas8717     Pavarde8717    5                        
Vardas1827     Pavarde1827    5                        
Vardas1763     Pavarde1763    5                        
Vardas3383     Pavarde3383    5                        
Vardas2714     Pavarde2714    5                        
Vardas5281     Pavarde5281    5                        
Vardas8216     Pavarde8216    5                        
Vardas872      Pavarde872     5                        
Vardas8097     Pavarde8097    5                        
Vardas1266     Pavarde1266    5                        
Vardas8061     Pavarde8061    5                        
Vardas1999     Pavarde1999    5                        
Vardas7274     Pavarde7274    5                        
Vardas9878     Pavarde9878    5                        
Vardas2450     Pavarde2450    5                        
Vardas3900     Pavarde3900    5                        
Vardas2591     Pavarde2591    5                        
Vardas469      Pavarde469     5                        
Vardas7166     Pavarde7166    5                        
Vardas7464     Pavarde7464    5                        
Vardas9766     Pavarde9766    5                        
Vardas6372     Pavarde6372    5                        
Vardas4000     Pavarde4000    5                        
Vardas9715     Pavarde9715    5                        
Vardas6638     Pavarde6638    5                        
Vardas3704     Pavarde3704    5                        
Vardas6306     Pavarde6306    5                        
Vardas2706     Pavarde2706    5                        
Vardas2307     Pavarde2307    5                        
Vardas7440     Pavarde7440    5                        
Vardas6692     Pavarde6692    5                        
Vardas622      Pavarde622     5                        
Vardas9958     Pavarde9958    5                        
Vardas2928     Pavarde2928    5                        
Vardas9643     Pavarde9643    5                        
Vardas8353     Pavarde8353    5                        
Vardas6689     Pavarde6689    5                        
Vardas1907     Pavarde1907    5                        
Vardas2557     Pavarde2557    5                        
Vardas3292     Pavarde3292    5                        
Vardas8375     Pavarde8375    5                        
Vardas551      Pavarde551     5                        
Vardas541      Pavarde541     5                        
Vardas8426     Pavarde8426    5                        
Vardas8435     Pavarde8435    5                        
Vardas8454     Pavarde8454    5                        
Vardas577      Pavarde577     5                        
Vardas242      Pavarde242     5                        
Vardas5173     Pavarde5173    5                        
Vardas2997     Pavarde2997    5                        
Vardas2272     Pavarde2272    5                        
Vardas2233     Pavarde2233    5                        
Vardas1236     Pavarde1236    5                        
Vardas6001     Pavarde6001    5                        
Vardas7370     Pavarde7370    5                        
Vardas7821     Pavarde7821    5                        
Vardas7834     Pavarde7834    5                        
