Pavarde        Vardas         Galutinis(vid./med.)     
-----------------------------------------------------------------------------------------------------------------
Vardas8807     Pavarde8807    9.6                      
Vardas3852     Pavarde3852    9.6                      
Vardas2971     Pavarde2971    9.5                      
Vardas4900     Pavarde4900    9.5                      
Vardas3967     Pavarde3967    9.5                      
Vardas3710     Pavarde3710    9.4                      
Vardas6487     Pavarde6487    9.4                      
Vardas3410     Pavarde3410    9.4                      
Vardas2549     Pavarde2549    9.4                      
Vardas5990     Pavarde5990    9.4                      
Vardas6399     Pavarde6399    9.4                      
Vardas6601     Pavarde6601    9.3                      
Vardas1720     Pavarde1720    9.3                      
Vardas8605     Pavarde8605    9.3                      
Vardas8505     Pavarde8505    9.3                      
Vardas485      Pavarde485     9.3                      
Vardas11       Pavarde11      9.3                      
Vardas3170     Pavarde3170    9.3                      
Vardas7790     Pavarde7790    9.3                      
Vardas1482     Pavarde1482    9.2                      
Vardas2244     Pavarde2244    9.2                      
Vardas6893     Pavarde6893    9.2                      
Vardas6934     Pavarde6934    9.2                      
Vardas5779     Pavarde5779    9.2                      
Vardas4737     Pavarde4737    9.2                      
Vardas1339     Pavarde1339    9.2                      
Vardas5412     Pavarde5412    9.2                      
Vardas49       Pavarde49      9.2                      
Vardas9739     Pavarde9739    9.2                      
Vardas8912     Pavarde8912    9.2                      
Vardas2321     Pavarde2321    9.2                      
Vardas789      Pavarde789     9.2                      
Vardas9030     Pavarde9030    9.2                      
Vardas7902     Pavarde7902    9.1                      
Vardas220      Pavarde220     9.1                      
Vardas6896     Pavarde6896    9.1                      
Vardas2644     Pavarde2644    9.1                      
Vardas6362     Pavarde6362    9.1                      
Vardas6908     Pavarde6908    9.1                      
Vardas5228     Pavarde5228    9.1                      
Vardas5435     Pavarde5435    9.1                      
Vardas6025     Pavarde6025    9.1                      
Vardas6355     Pavarde6355    9.1                      
Vardas333      Pavarde333     9.1                      
Vardas5374     Pavarde5374    9.1                      
Vardas3044     Pavarde3044    9.1                      
Vardas922      Pavarde922     9.1                      
Vardas2286     Pavarde2286    9.1                      
Vardas9916     Pavarde9916    9.1                      
Vardas2905     Pavarde2905    9                        
Vardas8667     Pavarde8667    9                        
Vardas3285     Pavarde3285    9                        
Vardas9435     Pavarde9435    9                        
Vardas5830     Pavarde5830    9                        
Vardas3247     Pavarde3247    9                        
Vardas9850     Pavarde9850    9                        
Vardas7040     Pavarde7040    9                        
Vardas3927     Pavarde3927    9                        
Vardas1679     Pavarde1679    9                        
Vardas2161     Pavarde2161    9                        
Vardas2652     Pavarde2652    9                        
Vardas6675     Pavarde6675    9                        
Vardas264      Pavarde264     9                        
Vardas6172     Pavarde6172    9                        
Vardas7625     Pavarde7625    9                        
Vardas8393     Pavarde8393    9                        
Vardas4082     Pavarde4082    9                        
Vardas4260     Pavarde4260    9                        
Vardas9672     Pavarde9672    9                        
Vardas4987     Pavarde4987    9                        
Vardas6833     Pavarde6833    9                        
Vardas1135     Pavarde1135    9                        
Vardas1737     Pavarde1737    9                        
Vardas3240     Pavarde3240    9                        
Vardas8283     Pavarde8283    9                        
Vardas6345     Pavarde6345    9                        
Vardas4099     Pavarde4099    9                        
Vardas6820     Pavarde6820    9                        
Vardas9585     Pavarde9585    9                        
Vardas1101     Pavarde1101    9                        
Vardas6084     Pavarde6084    9                        
Vardas1897     Pavarde1897    9                        
Vardas3636     Pavarde3636    9                        
Vardas4625     Pavarde4625    9                        
Vardas8743     Pavarde8743    9                        
Vardas1347     Pavarde1347    9                        
Vardas2278     Pavarde2278    9                        
Vardas7569     Pavarde7569    9                        
Vardas88       Pavarde88      9                        
Vardas2632     Pavarde2632    9                        
Vardas7946     Pavarde7946    9                        
Vardas2528     Pavarde2528    9                        
Vardas5035     Pavarde5035    9                        
Vardas7480     Pavarde7480    9                        
Vardas4822     Pavarde4822    9                        
Vardas5125     Pavarde5125    9                        
Vardas2699     Pavarde2699    9                        
Vardas8127     Pavarde8127    8.9                      
Vardas1805     Pavarde1805    8.9                      
Vardas1883     Pavarde1883    8.9                      
Vardas3301     Pavarde3301    8.9                      
Vardas3447     Pavarde3447    8.9                      
